sample_name,BioSample,Assay.Type,LibraryLayout,LibrarySource,LibrarySelection,Instrument,sex,age,medium,Strain,Tissue,Experiment,Run
DGRP_Line_158_Female_SAMN09738718,SAMN09738718,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_158,Whole flies,SRX4483554,SRR7619199
DGRP_Line_158_Male_SAMN09738716,SAMN09738716,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_158,Whole flies,SRX4483556,SRR7619201
DGRP_Line_176_Female_SAMN09738709,SAMN09738709,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_176,Whole flies,SRX4483563,SRR7619208
DGRP_Line_176_Male_SAMN09738708,SAMN09738708,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_176,Whole flies,SRX4483564,SRR7619209
DGRP_Line_177_Male_SAMN09738753,SAMN09738753,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_177,Whole flies,SRX4483569,SRR7619214
DGRP_Line_181_Female_SAMN09738752,SAMN09738752,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_181,Whole flies,SRX4483570,SRR7619215
DGRP_Line_181_Male_SAMN09738441,SAMN09738441,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_181,Whole flies,SRX4483573,SRR7619221
DGRP_Line_189_Female_SAMN09738439,SAMN09738439,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_189,Whole flies,SRX4483575,SRR7619223
DGRP_Line_195_Female_SAMN09738436,SAMN09738436,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_195,Whole flies,SRX4483578,SRR7619227
DGRP_Line_195_Male_SAMN09738682,SAMN09738682,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_195,Whole flies,SRX4483581,SRR7619231
DGRP_Line_208_Male_SAMN09738679,SAMN09738679,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_208,Whole flies,SRX4483584,SRR7619234
DGRP_Line_217_Male_SAMN09738671,SAMN09738671,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_217,Whole flies,SRX4483592,SRR7619245
DGRP_Line_223_Female_SAMN09738669,SAMN09738669,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_223,Whole flies,SRX4483594,SRR7619248
DGRP_Line_223_Female_SAMN09738668,SAMN09738668,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_223,Whole flies,SRX4483595,SRR7619249
DGRP_Line_223_Male_SAMN09738666,SAMN09738666,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_223,Whole flies,SRX4483597,SRR7619251
DGRP_Line_227_Female_SAMN09738664,SAMN09738664,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_227,Whole flies,SRX4483599,SRR7619253
DGRP_Line_228_Female_SAMN09738661,SAMN09738661,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_228,Whole flies,SRX4483602,SRR7619257
DGRP_Line_228_Male_SAMN09738394,SAMN09738394,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_228,Whole flies,SRX4483604,SRR7619259
DGRP_Line_229_Male_SAMN09738389,SAMN09738389,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_229,Whole flies,SRX4483609,SRR7619265
DGRP_Line_233_Male_SAMN09738385,SAMN09738385,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_233,Whole flies,SRX4483613,SRR7619271
DGRP_Line_237_Female_SAMN09738432,SAMN09738432,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_237,Whole flies,SRX4483619,SRR7619277
DGRP_Line_237_Female_SAMN09738432,SAMN09738432,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_237,Whole flies,SRX4483619,SRR7619278
DGRP_Line_237_Male_SAMN09738430,SAMN09738430,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_237,Whole flies,SRX4483621,SRR7619281
DGRP_Line_239_Female_SAMN09738429,SAMN09738429,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_239,Whole flies,SRX4483622,SRR7619282
DGRP_Line_256_Female_SAMN09738425,SAMN09738425,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_256,Whole flies,SRX4483626,SRR7619288
DGRP_Line_26_Male_SAMN09738419,SAMN09738419,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_26,Whole flies,SRX4483632,SRR7619294
DGRP_Line_28_Female_SAMN09738357,SAMN09738357,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_28,Whole flies,SRX4483634,SRR7619296
DGRP_Line_28_Male_SAMN09738355,SAMN09738355,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_28,Whole flies,SRX4483636,SRR7619298
DGRP_Line_287_Male_SAMN09738346,SAMN09738346,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_287,Whole flies,SRX4483645,SRR7619308
DGRP_Line_301_Male_SAMN09738342,SAMN09738342,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_301,Whole flies,SRX4483649,SRR7619312
DGRP_Line_303_Female_SAMN09738340,SAMN09738340,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_303,Whole flies,SRX4483651,SRR7619314
DGRP_Line_303_Male_SAMN09738339,SAMN09738339,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_303,Whole flies,SRX4483652,SRR7619315
DGRP_Line_303_Male_SAMN09738339,SAMN09738339,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_303,Whole flies,SRX4483652,SRR7619316
DGRP_Line_304_Male_SAMN09738335,SAMN09738335,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_304,Whole flies,SRX4483656,SRR7619321
DGRP_Line_310_Female_SAMN09738369,SAMN09738369,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_310,Whole flies,SRX4483670,SRR7619337
DGRP_Line_310_Female_SAMN09738369,SAMN09738369,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_310,Whole flies,SRX4483670,SRR7619338
DGRP_Line_310_Male_SAMN09738367,SAMN09738367,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_310,Whole flies,SRX4483672,SRR7619341
DGRP_Line_310_Male_SAMN09738366,SAMN09738366,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_310,Whole flies,SRX4483673,SRR7619342
DGRP_Line_313_Male_SAMN09738362,SAMN09738362,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_313,Whole flies,SRX4483677,SRR7619347
DGRP_Line_315_Female_SAMN09738409,SAMN09738409,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_315,Whole flies,SRX4483679,SRR7619349
DGRP_Line_315_Male_SAMN09738408,SAMN09738408,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_315,Whole flies,SRX4483680,SRR7619351
DGRP_Line_315_Male_SAMN09738407,SAMN09738407,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_315,Whole flies,SRX4483681,SRR7619352
DGRP_Line_317_Female_SAMN09738406,SAMN09738406,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_317,Whole flies,SRX4483682,SRR7619353
DGRP_Line_317_Female_SAMN09738406,SAMN09738406,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_317,Whole flies,SRX4483682,SRR7619354
DGRP_Line_317_Male_SAMN09738404,SAMN09738404,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_317,Whole flies,SRX4483684,SRR7619356
DGRP_Line_317_Male_SAMN09738403,SAMN09738403,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_317,Whole flies,SRX4483685,SRR7619357
DGRP_Line_318_Male_SAMN09738399,SAMN09738399,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_318,Whole flies,SRX4483689,SRR7619361
DGRP_Line_320_Female_SAMN09738413,SAMN09738413,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_320,Whole flies,SRX4483698,SRR7619372
DGRP_Line_320_Female_SAMN09738412,SAMN09738412,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_320,Whole flies,SRX4483699,SRR7619374
DGRP_Line_320_Male_SAMN09738411,SAMN09738411,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_320,Whole flies,SRX4483700,SRR7619375
DGRP_Line_320_Male_SAMN09738410,SAMN09738410,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_320,Whole flies,SRX4483701,SRR7619376
DGRP_Line_321_Male_SAMN09738652,SAMN09738652,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_321,Whole flies,SRX4483704,SRR7619379
DGRP_Line_321_Male_SAMN09738651,SAMN09738651,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_321,Whole flies,SRX4483705,SRR7619380
DGRP_Line_332_Male_SAMN09738443,SAMN09738443,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_332,Whole flies,SRX4483717,SRR7619394
DGRP_Line_336_Female_SAMN09738241,SAMN09738241,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_336,Whole flies,SRX4483722,SRR7619399
DGRP_Line_338_Male_SAMN09738305,SAMN09738305,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_338,Whole flies,SRX4483728,SRR7619406
DGRP_Line_350_Female_SAMN09738294,SAMN09738294,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_350,Whole flies,SRX4483739,SRR7619419
DGRP_Line_350_Male_SAMN09738292,SAMN09738292,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_350,Whole flies,SRX4483741,SRR7619421
DGRP_Line_352_Female_SAMN09738290,SAMN09738290,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_352,Whole flies,SRX4483743,SRR7619423
DGRP_Line_352_Male_SAMN09738289,SAMN09738289,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_352,Whole flies,SRX4483744,SRR7619425
DGRP_Line_356_Female_SAMN09738286,SAMN09738286,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_356,Whole flies,SRX4483754,SRR7619436
DGRP_Line_358_Female_SAMN09738322,SAMN09738322,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_358,Whole flies,SRX4483762,SRR7619445
DGRP_Line_358_Male_SAMN09738320,SAMN09738320,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_358,Whole flies,SRX4483764,SRR7619448
DGRP_Line_358_Male_SAMN09738319,SAMN09738319,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_358,Whole flies,SRX4483765,SRR7619449
DGRP_Line_359_Female_SAMN09738318,SAMN09738318,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_359,Whole flies,SRX4483766,SRR7619450
DGRP_Line_359_Female_SAMN09738317,SAMN09738317,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_359,Whole flies,SRX4483767,SRR7619452
DGRP_Line_360_Male_SAMN09738312,SAMN09738312,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_360,Whole flies,SRX4483772,SRR7619457
DGRP_Line_361_Female_SAMN09738309,SAMN09738309,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_361,Whole flies,SRX4483775,SRR7619461
DGRP_Line_361_Male_SAMN09738360,SAMN09738360,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_361,Whole flies,SRX4483777,SRR7619463
DGRP_Line_362_Female_SAMN09738220,SAMN09738220,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_362,Whole flies,SRX4483779,SRR7619465
DGRP_Line_362_Female_SAMN09738220,SAMN09738220,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_362,Whole flies,SRX4483779,SRR7619466
DGRP_Line_365_Female_SAMN09738217,SAMN09738217,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_365,Whole flies,SRX4483782,SRR7619469
DGRP_Line_365_Female_SAMN09738282,SAMN09738282,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_365,Whole flies,SRX4483783,SRR7619470
DGRP_Line_367_Female_SAMN09738278,SAMN09738278,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_367,Whole flies,SRX4483787,SRR7619474
DGRP_Line_367_Male_SAMN09738275,SAMN09738275,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_367,Whole flies,SRX4483789,SRR7619477
DGRP_Line_370_Female_SAMN09738274,SAMN09738274,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_370,Whole flies,SRX4483790,SRR7619478
DGRP_Line_370_Female_SAMN09738274,SAMN09738274,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_370,Whole flies,SRX4483790,SRR7619479
DGRP_Line_370_Female_SAMN09738273,SAMN09738273,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_370,Whole flies,SRX4483791,SRR7619480
DGRP_Line_370_Male_SAMN09738272,SAMN09738272,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_370,Whole flies,SRX4483792,SRR7619482
DGRP_Line_375_Female_SAMN09738249,SAMN09738249,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_375,Whole flies,SRX4483807,SRR7619498
DGRP_Line_377_Male_SAMN09738151,SAMN09738151,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_377,Whole flies,SRX4483813,SRR7619504
DGRP_Line_379_Female_SAMN09738149,SAMN09738149,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_379,Whole flies,SRX4483815,SRR7619506
DGRP_Line_38_Female_SAMN09738145,SAMN09738145,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_38,Whole flies,SRX4483819,SRR7619510
DGRP_Line_380_Male_SAMN09738140,SAMN09738140,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_380,Whole flies,SRX4483824,SRR7619516
DGRP_Line_380_Male_SAMN09738216,SAMN09738216,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_380,Whole flies,SRX4483825,SRR7619518
DGRP_Line_381_Female_SAMN09738214,SAMN09738214,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_381,Whole flies,SRX4483827,SRR7619520
DGRP_Line_381_Male_SAMN09738212,SAMN09738212,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_381,Whole flies,SRX4483829,SRR7619522
DGRP_Line_382_Male_SAMN09738209,SAMN09738209,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_382,Whole flies,SRX4483832,SRR7619526
DGRP_Line_385_Female_SAMN09738202,SAMN09738202,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_385,Whole flies,SRX4483839,SRR7619534
DGRP_Line_386_Male_SAMN09738201,SAMN09738201,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_386,Whole flies,SRX4483844,SRR7619539
DGRP_Line_386_Male_SAMN09738200,SAMN09738200,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_386,Whole flies,SRX4483845,SRR7619540
DGRP_Line_386_Male_SAMN09738200,SAMN09738200,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_386,Whole flies,SRX4483845,SRR7619541
DGRP_Line_391_Male_SAMN09738238,SAMN09738238,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_391,Whole flies,SRX4483852,SRR7619550
DGRP_Line_391_Male_SAMN09738237,SAMN09738237,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_391,Whole flies,SRX4483853,SRR7619551
DGRP_Line_392_Female_SAMN09738236,SAMN09738236,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_392,Whole flies,SRX4483854,SRR7619552
DGRP_Line_392_Male_SAMN09738233,SAMN09738233,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_392,Whole flies,SRX4483857,SRR7619556
DGRP_Line_395_Female_SAMN09738231,SAMN09738231,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_395,Whole flies,SRX4483859,SRR7619558
DGRP_Line_399_Female_SAMN09738224,SAMN09738224,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_399,Whole flies,SRX4483866,SRR7619566
DGRP_Line_399_Female_SAMN09738222,SAMN09738222,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_399,Whole flies,SRX4483867,SRR7619567
DGRP_Line_40_Male_SAMN09738138,SAMN09738138,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_40,Whole flies,SRX4483872,SRR7619572
DGRP_Line_405_Female_SAMN09738135,SAMN09738135,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_405,Whole flies,SRX4483875,SRR7619576
