Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,medium,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,Strain,Tissue
SRR7619180,3-5 days old,RNA-Seq,125,2075702625,PRJNA483441,SAMN09738687,950314480,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483538,GSM3310694,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310694,female,DGRP Line 138 Female,SRP155726,DGRP_138,Whole flies
SRR7619193,3-5 days old,RNA-Seq,125,1917492500,PRJNA483441,SAMN09738723,929984836,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483549,GSM3310705,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310705,male,DGRP Line 149 Male,SRP155726,DGRP_149,Whole flies
SRR7619195,3-5 days old,RNA-Seq,125,2643822000,PRJNA483441,SAMN09738721,1284581865,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483551,GSM3310707,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310707,female,DGRP Line 153 Female,SRP155726,DGRP_153,Whole flies
SRR7619196,3-5 days old,RNA-Seq,125,2081752250,PRJNA483441,SAMN09738720,983740072,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483552,GSM3310708,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310708,male,DGRP Line 153 Male,SRP155726,DGRP_153,Whole flies
SRR7619199,3-5 days old,RNA-Seq,125,1907254500,PRJNA483441,SAMN09738718,907347305,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483554,GSM3310710,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310710,female,DGRP Line 158 Female,SRP155726,DGRP_158,Whole flies
SRR7619201,3-5 days old,RNA-Seq,125,1910224625,PRJNA483441,SAMN09738716,918704695,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483556,GSM3310712,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310712,male,DGRP Line 158 Male,SRP155726,DGRP_158,Whole flies
SRR7619208,3-5 days old,RNA-Seq,125,2111390750,PRJNA483441,SAMN09738709,1011550362,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483563,GSM3310719,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310719,female,DGRP Line 176 Female,SRP155726,DGRP_176,Whole flies
SRR7619209,3-5 days old,RNA-Seq,125,2038258625,PRJNA483441,SAMN09738708,977138379,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483564,GSM3310720,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310720,male,DGRP Line 176 Male,SRP155726,DGRP_176,Whole flies
SRR7619214,3-5 days old,RNA-Seq,125,1808233375,PRJNA483441,SAMN09738753,877808553,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483569,GSM3310725,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310725,male,DGRP Line 177 Male,SRP155726,DGRP_177,Whole flies
SRR7619215,3-5 days old,RNA-Seq,125,1713801750,PRJNA483441,SAMN09738752,786004091,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483570,GSM3310726,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310726,female,DGRP Line 181 Female,SRP155726,DGRP_181,Whole flies
SRR7619221,3-5 days old,RNA-Seq,125,2430532875,PRJNA483441,SAMN09738441,1185492990,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483573,GSM3310729,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310729,male,DGRP Line 181 Male,SRP155726,DGRP_181,Whole flies
SRR7619223,3-5 days old,RNA-Seq,125,2791389750,PRJNA483441,SAMN09738439,1361168412,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483575,GSM3310731,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310731,female,DGRP Line 189 Female,SRP155726,DGRP_189,Whole flies
SRR7619227,3-5 days old,RNA-Seq,125,2190856625,PRJNA483441,SAMN09738436,1005029624,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483578,GSM3310734,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310734,female,DGRP Line 195 Female,SRP155726,DGRP_195,Whole flies
SRR7619231,3-5 days old,RNA-Seq,125,1601118500,PRJNA483441,SAMN09738682,787029674,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483581,GSM3310737,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310737,male,DGRP Line 195 Male,SRP155726,DGRP_195,Whole flies
SRR7619234,3-5 days old,RNA-Seq,125,1734287625,PRJNA483441,SAMN09738679,792603791,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483584,GSM3310740,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310740,male,DGRP Line 208 Male,SRP155726,DGRP_208,Whole flies
SRR7619245,3-5 days old,RNA-Seq,125,2455831000,PRJNA483441,SAMN09738671,1136253436,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483592,GSM3310748,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310748,male,DGRP Line 217 Male,SRP155726,DGRP_217,Whole flies
SRR7619248,3-5 days old,RNA-Seq,125,1819863625,PRJNA483441,SAMN09738669,871435827,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483594,GSM3310750,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310750,female,DGRP Line 223 Female,SRP155726,DGRP_223,Whole flies
SRR7619249,3-5 days old,RNA-Seq,125,2046960125,PRJNA483441,SAMN09738668,966105286,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483595,GSM3310751,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310751,female,DGRP Line 223 Female,SRP155726,DGRP_223,Whole flies
SRR7619251,3-5 days old,RNA-Seq,125,1700852875,PRJNA483441,SAMN09738666,801796587,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483597,GSM3310753,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310753,male,DGRP Line 223 Male,SRP155726,DGRP_223,Whole flies
SRR7619253,3-5 days old,RNA-Seq,125,1987659500,PRJNA483441,SAMN09738664,955573222,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483599,GSM3310755,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310755,female,DGRP Line 227 Female,SRP155726,DGRP_227,Whole flies
SRR7619257,3-5 days old,RNA-Seq,125,2297872750,PRJNA483441,SAMN09738661,1113594556,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483602,GSM3310758,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310758,female,DGRP Line 228 Female,SRP155726,DGRP_228,Whole flies
SRR7619259,3-5 days old,RNA-Seq,125,2264043625,PRJNA483441,SAMN09738394,1051844837,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483604,GSM3310760,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310760,male,DGRP Line 228 Male,SRP155726,DGRP_228,Whole flies
SRR7619265,3-5 days old,RNA-Seq,125,1662175250,PRJNA483441,SAMN09738389,811306134,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483609,GSM3310765,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310765,male,DGRP Line 229 Male,SRP155726,DGRP_229,Whole flies
SRR7619271,3-5 days old,RNA-Seq,125,1967683625,PRJNA483441,SAMN09738385,921614481,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483613,GSM3310769,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310769,male,DGRP Line 233 Male,SRP155726,DGRP_233,Whole flies
SRR7619277,3-5 days old,RNA-Seq,125,1228046875,PRJNA483441,SAMN09738432,527903936,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483619,GSM3310775,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310775,female,DGRP Line 237 Female,SRP155726,DGRP_237,Whole flies
SRR7619278,3-5 days old,RNA-Seq,125,2420471875,PRJNA483441,SAMN09738432,1178174553,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483619,GSM3310775,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310775,female,DGRP Line 237 Female,SRP155726,DGRP_237,Whole flies
SRR7619281,3-5 days old,RNA-Seq,125,1818874375,PRJNA483441,SAMN09738430,834766676,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483621,GSM3310777,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310777,male,DGRP Line 237 Male,SRP155726,DGRP_237,Whole flies
SRR7619282,3-5 days old,RNA-Seq,125,2039559500,PRJNA483441,SAMN09738429,986151289,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483622,GSM3310778,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310778,female,DGRP Line 239 Female,SRP155726,DGRP_239,Whole flies
SRR7619288,3-5 days old,RNA-Seq,125,2339757250,PRJNA483441,SAMN09738425,1105991295,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483626,GSM3310782,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310782,female,DGRP Line 256 Female,SRP155726,DGRP_256,Whole flies
SRR7619294,3-5 days old,RNA-Seq,125,2152930125,PRJNA483441,SAMN09738419,1088226061,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483632,GSM3310788,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310788,male,DGRP Line 26 Male,SRP155726,DGRP_26,Whole flies
SRR7619296,3-5 days old,RNA-Seq,125,2479659750,PRJNA483441,SAMN09738357,1130177086,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483634,GSM3310790,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310790,female,DGRP Line 28 Female,SRP155726,DGRP_28,Whole flies
SRR7619298,3-5 days old,RNA-Seq,125,2094197625,PRJNA483441,SAMN09738355,1028899776,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483636,GSM3310792,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310792,male,DGRP Line 28 Male,SRP155726,DGRP_28,Whole flies
SRR7619308,3-5 days old,RNA-Seq,125,2213403625,PRJNA483441,SAMN09738346,1074050459,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483645,GSM3310801,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310801,male,DGRP Line 287 Male,SRP155726,DGRP_287,Whole flies
SRR7619312,3-5 days old,RNA-Seq,125,2420453125,PRJNA483441,SAMN09738342,1181748582,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483649,GSM3310805,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310805,male,DGRP Line 301 Male,SRP155726,DGRP_301,Whole flies
SRR7619314,3-5 days old,RNA-Seq,125,2402322375,PRJNA483441,SAMN09738340,1136347960,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483651,GSM3310807,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310807,female,DGRP Line 303 Female,SRP155726,DGRP_303,Whole flies
SRR7619315,3-5 days old,RNA-Seq,125,1436237875,PRJNA483441,SAMN09738339,673958405,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483652,GSM3310808,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310808,male,DGRP Line 303 Male,SRP155726,DGRP_303,Whole flies
SRR7619316,3-5 days old,RNA-Seq,125,2475618500,PRJNA483441,SAMN09738339,1195090215,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483652,GSM3310808,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310808,male,DGRP Line 303 Male,SRP155726,DGRP_303,Whole flies
SRR7619321,3-5 days old,RNA-Seq,125,2160800875,PRJNA483441,SAMN09738335,988382553,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483656,GSM3310812,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310812,male,DGRP Line 304 Male,SRP155726,DGRP_304,Whole flies
SRR7619337,3-5 days old,RNA-Seq,125,868828125,PRJNA483441,SAMN09738369,416551024,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483670,GSM3310826,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310826,female,DGRP Line 310 Female,SRP155726,DGRP_310,Whole flies
SRR7619338,3-5 days old,RNA-Seq,125,1652639125,PRJNA483441,SAMN09738369,784598583,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483670,GSM3310826,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310826,female,DGRP Line 310 Female,SRP155726,DGRP_310,Whole flies
SRR7619341,3-5 days old,RNA-Seq,125,1361480625,PRJNA483441,SAMN09738367,646975685,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483672,GSM3310828,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310828,male,DGRP Line 310 Male,SRP155726,DGRP_310,Whole flies
SRR7619342,3-5 days old,RNA-Seq,125,1947150625,PRJNA483441,SAMN09738366,883456315,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483673,GSM3310829,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310829,male,DGRP Line 310 Male,SRP155726,DGRP_310,Whole flies
SRR7619347,3-5 days old,RNA-Seq,125,1892532500,PRJNA483441,SAMN09738362,911215138,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483677,GSM3310833,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310833,male,DGRP Line 313 Male,SRP155726,DGRP_313,Whole flies
SRR7619349,3-5 days old,RNA-Seq,125,1382985500,PRJNA483441,SAMN09738409,591132539,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483679,GSM3310835,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310835,female,DGRP Line 315 Female,SRP155726,DGRP_315,Whole flies
SRR7619351,3-5 days old,RNA-Seq,125,1899659625,PRJNA483441,SAMN09738408,901140703,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483680,GSM3310836,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310836,male,DGRP Line 315 Male,SRP155726,DGRP_315,Whole flies
SRR7619352,3-5 days old,RNA-Seq,125,1812735375,PRJNA483441,SAMN09738407,839593080,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483681,GSM3310837,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310837,male,DGRP Line 315 Male,SRP155726,DGRP_315,Whole flies
SRR7619353,3-5 days old,RNA-Seq,125,1424378875,PRJNA483441,SAMN09738406,667330013,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483682,GSM3310838,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310838,female,DGRP Line 317 Female,SRP155726,DGRP_317,Whole flies
SRR7619354,3-5 days old,RNA-Seq,125,2236220375,PRJNA483441,SAMN09738406,1083835042,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483682,GSM3310838,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310838,female,DGRP Line 317 Female,SRP155726,DGRP_317,Whole flies
